,カテゴリ,質問内容
1,基本情報,本社を教えてください。
2,基本情報,代表取締役を教えてください。
3,基本情報,葬儀価格を教えてください。
4,基本情報,葬儀会館を教えてください。
5,基本情報,市脇会館の住所を教えてください。
6,基本情報,小原田会館の住所を教えてください。
7,基本情報,小原田別館の住所を教えてください。
8,基本情報,市脇会館はどのような葬儀ができますか？
9,基本情報,小原田会館はどのような葬儀ができますか？
10,基本情報,小原田別館はどのような葬儀ができますか？
11,業務手順,ご遺族との打ち合わせ手順は？
12,業務手順,葬儀プランの説明方法を教えてください。
13,業務手順,祭壇の設営手順は？
14,業務手順,お通夜や告別式の準備スケジュールは？
15,業務手順,供花や供物の発注方法を教えてください。
16,商品・サービス,葬儀プランの一覧を確認する方法は？
17,商品・サービス,使用可能な式場のリストを教えてください。
18,商品・サービス,会葬礼状の文例はどこで確認できますか？
19,商品・サービス,返礼品の在庫状況はどこで確認できますか？
20,商品・サービス,仏壇や仏具の取り扱いガイドラインは？
21,顧客対応,ご遺族からの問い合わせへの対応例は？
22,顧客対応,クレームがあった場合の対応方法を教えてください。
23,顧客対応,緊急連絡先のリストを確認するには？
24,顧客対応,故人の宗教や信仰に応じた対応方法は？
25,顧客対応,感謝の言葉をどう伝えるべきか？
26,社内制度・規定,出勤スケジュールの確認方法は？
27,社内制度・規定,休暇申請の手順を教えてください。
28,社内制度・規定,業務中の服装規定は？
29,社内制度・規定,経費精算の方法を教えてください。
30,技術的サポート,社内システムへのログイン手順は？
31,技術的サポート,電話やPCのトラブルがあった場合の対処法は？
32,技術的サポート,プリンタの設定方法を教えてください。
33,技術的サポート,社内Wi-Fiの接続手順は？
34,教育・研修,社内研修の日程はどこで確認できますか？
35,教育・研修,新人マニュアルをダウンロードする方法は？
36,教育・研修,接遇マナー研修の内容を教えてください。
37,緊急対応,式場で急病人が出た場合の対応方法は？
38,緊急対応,火葬場の設備トラブルがあった場合の連絡先は？
39,緊急対応,台風や災害が発生した場合の葬儀スケジュール変更方法は？
40,その他,名刺や資料の補充を依頼する方法は？
41,その他,業務連絡のテンプレートはどこにありますか？
42,その他,お客様への謝礼の手配方法は？
