,カテゴリ,答え
1,基本情報,和歌山県橋本市橋本1丁目1030
2,基本情報,平野　聖太郎
3,基本情報,詳しくはお問い合わせください　電話番号0120-424-278（直通）
4,基本情報,1市脇会館、2小原田会館、3小原田別館
5,基本情報,橋本市市脇
6,基本情報,橋本市小原田
7,基本情報,橋本市小原田
8,基本情報,中規模、大規模葬儀で利用できます。
9,基本情報,小規模葬儀で利用できます。
10,基本情報,家族葬儀で利用できます。
11,業務手順,①手順、②手順、➂手順で行います。
12,業務手順,①手順、②手順、➂手順で行います。
13,業務手順,①手順、②手順、➂手順で行います。
14,業務手順,①手順、②手順、➂手順で行います。
15,業務手順,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
16,商品・サービス,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
17,商品・サービス,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
18,商品・サービス,こちらのURLをご案内ください。XXXXXXXXXXXXXXX
19,商品・サービス,担当の○○さんへ確認ください。電話番号000-0000-0000
20,商品・サービス,担当の○○さんへ確認ください。電話番号000-0000-0000
21,顧客対応,お名前を伺ってください。それぞれの葬儀に担当者が付いております。
22,顧客対応,担当の○○さんへ確認ください。電話番号000-0000-0000
23,顧客対応,担当の○○さんへ確認ください。電話番号000-0000-0001
24,顧客対応,担当の○○さんへ確認ください。電話番号000-0000-0002
25,顧客対応,担当の○○さんへ確認ください。電話番号000-0000-0003
26,社内制度・規定,担当の○○さんへ確認ください。電話番号000-0000-0004
27,社内制度・規定,担当の○○さんへ確認ください。電話番号000-0000-0005
28,社内制度・規定,担当の○○さんへ確認ください。電話番号000-0000-0006
29,社内制度・規定,担当の○○さんへ確認ください。電話番号000-0000-0007
30,技術的サポート,担当の○○さんへ確認ください。電話番号000-0000-0008
31,技術的サポート,担当の○○さんへ確認ください。電話番号000-0000-0009
32,技術的サポート,担当の○○さんへ確認ください。電話番号000-0000-0010
33,技術的サポート,担当の○○さんへ確認ください。電話番号000-0000-0011
34,教育・研修,担当の○○さんへ確認ください。電話番号000-0000-0012
35,教育・研修,担当の○○さんへ確認ください。電話番号000-0000-0013
36,教育・研修,担当の○○さんへ確認ください。電話番号000-0000-0014
37,緊急対応,担当の○○さんへ確認ください。電話番号000-0000-0015
38,緊急対応,担当の○○さんへ確認ください。電話番号000-0000-0016
39,緊急対応,担当の○○さんへ確認ください。電話番号000-0000-0017
40,その他,担当の○○さんへ確認ください。電話番号000-0000-0018
41,その他,担当の○○さんへ確認ください。電話番号000-0000-0019
42,その他,担当の○○さんへ確認ください。電話番号000-0000-0020
